workerid,proliferate.condition,correct,cumrt,distractors,internal_node_id,item,order,response,rt,sentence,stimulus,time_elapsed,trial_index,trial_type,type,words,error
939,i,,,,0.0-0.0,,,0,203713,," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",203723,0,html-button-response,,,
939,i,,,,0.0-1.0,,,0,1757,,"<h3>Please read these instructions carefully!</h3> </br><p>For this experiment, please place your <b>left index finger on the 'e' key</b> and your <b>right index finger on the 'i' key</b>.</p><p> You will read sentences word by word. However, you will have to guess which word comes next. On each screen you will see two options: one will be the next word in the sentence, and one will not. </p><p><b>Select the word that continues the sentence by pressing 'e' (left-hand) for the word on the left or pressing 'i' (right-hand) for the word on the right.</b></p><p>Select the best word as quickly as you can, but without making too many errors. </p><div><p>Click ""Continue"" to try this on a practice sentence.</p></div>",205486,1,html-button-response,,,
939,i,"[1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[6120, 4514, 13120, 1825, 2142, 4562, 1185, 253, 266, 741, 926, 1499, 691, 1195]","['x-x-x', 'whom', 'knew', 'appeared', 'emotions', 'know', 'dad', 'lake', 'edition', 'jack', 'fans', 'fund', 'grow', 'died.']",0.0-2.0,,"[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]",,"[6120, 4514, 10315, 1825, 2142, 1275, 510, 253, 266, 74, 209, 253, 691, 1195]",,,244665,2,maze,,"['This', 'is', 'a', 'practice', 'sentence', 'that', 'you', 'are', 'reading', 'one', 'word', 'at', 'a', 'time.']",
939,i,,,,0.0-3.0,,,0,12528,,"<h3>Please read these instructions carefully!</h3> </br><p>Great job! Now you are ready for the main experiment.</p><p> You will now read 16 short stories in the same word-by-word way.</p><div><p>Click ""Continue"" to start the experiment.</p>",257196,3,html-button-response,,,
939,i,"[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]","[3047, 2783, 1520, 1320, 1444, 2110, 3217, 2467, 2788, 794, 1145, 1084, 1345, 1022, 2649, 2121]","['x-x-x', 'packets', 'marry', 'term', 'grow', 'adds', 'deserves', 'yeah', 'climates.', 'x-x-x', 'painful', 'cent', 'wars', 'glad', 'gift', 'none.']",0.0-4.0-0.0,1,"[0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]",,"[3047, 1590, 1520, 1320, 1444, 1139, 2089, 1311, 1856, 794, 1145, 1084, 1345, 1022, 1362, 1102]",A burglar broke into a bank carrying some dynamite. He planned to blow open a safe.,,288075,4,maze,setup,"['A', 'burglar', 'broke', 'into', 'a', 'bank', 'carrying', 'some', 'dynamite.', 'He', 'planned', 'to', 'blow', 'open', 'a', 'safe.']",
939,i,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[770, 1318, 1198, 4201, 2485, 2050, 968, 859, 2391, 941, 8637, 1028, 1844, 1897, 1487, 561, 742, 1364, 1035, 380, 611, 635]","['x-x-x', 'senate', 'dad', 'sir', 'fund', 'agree', 'lord', 'vs', 'died', 'tells', 'cent', 'says', 'ago', 'mice', 'sad', 'pro', 'eradicate', 'worst', 'pre', 'oh', 'yeah', 'woke.']",0.0-4.0-0.1,1,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1]",,"[770, 1318, 1198, 1264, 1049, 1130, 968, 859, 845, 941, 1246, 1028, 836, 994, 631, 561, 742, 748, 427, 380, 611, 635]",Once inside he saw that there was a safe which had a new lock and a strongbox which had an old lock.,,325511,5,maze,1-context,"['Once', 'inside', 'he', 'saw', 'that', 'there', 'was', 'a', 'safe', 'which', 'had', 'a', 'new', 'lock', 'and', 'a', 'strongbox', 'which', 'had', 'an', 'old', 'lock.']",
939,i,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]","[816, 1111, 736, 2669, 1433, 1431, 1138, 15640, 2548, 822, 2789, 1413, 1078, 629, 2556, 325]","['x-x-x', 'denoted', 'slim', 'date', 'yeah', 'glad', 'hate', 'app', 'explores', 'earn', 'sir', 'wish', 'ago', 'lord', 'fund', 'alma.']",0.0-4.0-0.2,1,"[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",,"[816, 1111, 736, 1789, 601, 608, 453, 410, 1450, 822, 1924, 865, 433, 63, 122, 325]",The burglar blew open the safe with the new lock and made off with the loot.,,362689,6,maze,NP,"['The', 'burglar', 'blew', 'open', 'the', 'safe', 'with', 'the', 'new', 'lock', 'and', 'made', 'off', 'with', 'the', 'loot.']",
939,i,,,,0.0-5.0,,,,,,,363691,7,html-button-response,,,
939,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[2103, 1050, 775, 937, 741, 881, 1153, 669, 1287, 996, 2704, 829, 666, 1125, 808, 1048, 888, 767]","['x-x-x', 'costs', 'heat', 'account', 'message', 'gone', 'colonel', 'march', 'edition', 'need', 'basemen', 'ours.', 'x-x-x', 'stupid', 'kill', 'bureau', 'read', 'pros.']",0.0-6.0-0.0,27,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0]",,"[2103, 1050, 775, 937, 741, 881, 1153, 669, 1287, 996, 1807, 829, 666, 1125, 808, 1048, 888, 767]",A woman was looking through some clothes while holding some darning wool. She needed to repair a sock.,,383143,8,maze,setup,"['A', 'woman', 'was', 'looking', 'through', 'some', 'clothes', 'while', 'holding', 'some', 'darning', 'wool.', 'She', 'needed', 'to', 'repair', 'a', 'sock.']",
939,i,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[752, 990, 1360, 871, 1007, 818, 20607, 1512, 1438, 761, 740, 739, 1777, 577, 668, 728, 790, 955, 895, 17584, 841, 772, 1386, 1017]","['x-x-x', 'worse', 'unit', 'kill', 'eats', 'pull', 'outcome', 'try', 'tabs', 'basis', 'west', 'camp', 'vary', 'love', 'drug', 'note', 'tax', 'breeds', 'coast', 'tour', 'weekend', 'site', 'via', 'maps.']",0.0-6.0-0.1,27,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0]",,"[752, 990, 1360, 871, 1007, 818, 20607, 1512, 1438, 761, 740, 739, 1036, 577, 668, 728, 790, 955, 895, 17584, 841, 772, 1386, 1017]",She found in the pile of clothes a sock which had a hole in it and a jumper which was getting a bit thin.,,442752,9,maze,1-context,"['She', 'found', 'in', 'the', 'pile', 'of', 'clothes', 'a', 'sock', 'which', 'had', 'a', 'hole', 'in', 'it', 'and', 'a', 'jumper', 'which', 'was', 'getting', 'a', 'bit', 'thin.']",
