setup;1_1;A burglar broke into a bank carrying some dynamite. He planned to blow open a safe. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1-context;1_2;Once inside he saw that there was a safe which had a new lock and a strongbox which had an old lock. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
2-context;1_2;Once inside he saw that there was a safe which had a new lock and a safe which had an old lock. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
NP;1_3;The burglar blew open the safe with the new lock and made off with the loot.;1 2 3 4 5 6 7 8 9 x 10 11 12 13 14 15
VP;1_3;The burglar blew open the safe with the dynamite and made off with the loot.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
setup;2_1;A mechanic walked up to a car carrying a monkey wrench. He thought he’d have to change a tyre. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
1-context;2_2;On examining the car he found that there was a tyre which had a faulty valve and a fuel line which had a small hole in it. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 x 20 21 22 23 24 25 26 
2-context;2_2;On examining the car he found that there was a tyre which had a faulty valve and a tyre which had a small hole in it.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
NP;2_3;The mechanic changed the tyre with the faulty valve but it took a long time.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
VP;2_3;The mechanic changed the tyre with the monkey wrench but it took a long time.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
setup;3_1;A convict escaped from his cell clutching a knife. He was prepared to attack a warder if necessary. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1-context;3_2;Once outside he saw a warder holding a bunch of keys and a policeman holding a long truncheon. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
2-context;3_2;Once outside he saw a warder holding a bunch of keys and a warden holding a long truncheon.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
NP;3_3;The convict suddenly lunged at the warder with the keys before running off.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;3_3;The convict suddenly lunged at the warder with the knife before running off.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;4_1;A schoolteacher walked into class carrying a bamboo cane. He sadistically hoped that he would have to beat a boy.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
1-context;4_2;On entering he saw that a boy who had a broken leg and a girl who wore glasses didn’t stand up for him.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
2-context;4_2;On entering he saw that a boy who had a broken leg and a boy who wore glasses didn’t stand up for him.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
NP;4_3;The schoolteacher beat the boy with the broken leg but the boy didn’t cry out.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
VP;4_3;The schoolteacher beat the boy with the bamboo cane but the boy didn’t cry out.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
setup;5_1;John had bought a diamond stylus for his stereo. He planned to play a record. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1-context;5_2;He’d been given a record which had a lot of noisy crackle and a cassette which had a lot of hiss.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
2-context;5_2;He’d been given a record which had a lot of noisy crackle and a record which had a lot of hiss.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
NP;5_3;John decided to play the record with the noisy crackle but it sounded terrible.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;5_3;John decided to play the record with the diamond stylus but it sounded terrible.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;6_1;A historian was working in the British Museum holding a magnifying glass. He’d sat down to study a map.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
1-context;6_2;On his desk there was a map which had an appalling tear and a manuscript which seemed in perfect condition.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2-context;6_2;On his desk there was a map which had an appalling tear and a map which seemed in perfect condition.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
NP;6_3;The historian had to study the map with the appalling tear so as to value it.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
VP;6_3;The historian had to study the map with the magnifying glass so as to value it.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
setup;7_1;An artist was working at a table holding a long brush. He had a sudden premonition that he was going to knock over a bottle.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
1-context;7_2;On the table there was a bottle containing some paint and a small jug filled with water.;1 2 3 4 5 6 7 8 9 10 11 12 13 x 14 15 16 
2-context;7_2;On the table there was a bottle containing some paint and a bottle filled with water.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
NP;7_3;The artist accidently knocked over the bottle with the paint and swore loudly.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;7_3;The artist accidently knocked over the bottle with the brush and swore loudly.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;8_1;A window cleaner was climbing his ladder clutching a cloth. He’d been asked to wipe a window. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;8_2;Once up the ladder he saw that there was a window which had a lot of dirt on it and a skylight which was relatively clean. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
2-context;8_2;Once up the ladder he saw that there was a window which had a lot of dirt on it and a window which was relatively clean. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
NP;8_3;The window cleaner wiped the window with the dirt while singing to himself.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;8_3;The window cleaner wiped the window with the cloth while singing to himself.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;9_1;A workman climbed down a manhole carrying a saw. He expected to have to cut through a valve.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1-context;9_2;Down the manhole he found a valve which had a lot of rust on it and a section of pipe which had been leaking gas.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 x y 19 20 21 22 23
2-context;9_2;Down the manhole he found a valve which had a lot of rust on it and a valve which had been leaking gas.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
NP;9_3;The workman cut through the valve with the rust before fitting a new one. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;9_3;The workman cut through the valve with the saw before fitting a new one. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;10_1;A man was walking up and down a dark street carrying an iron crowbar. He hoped to break into a shop.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1-context;10_2;He noticed that there was a shop which had a broken window and a post office which was fitted with a burglar alarm. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 x 16 17 18 19 20 21 22
2-context;10_2;He noticed that there was a shop which had a broken window and a shop which was fitted with a burglar alarm. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
NP;10_3;The man broke into the shop with the broken window but nobody saw him.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;10_3;The man broke into the shop with the iron crowbar but nobody saw him.;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;11_1;A monkey had been trained to eat using a fork. It was supposed to eat a banana.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;11_2;It was given a banana which had a bruise on it and an apple that was perfect.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
2-context;11_2;It was given a banana which had a bruise on it and a banana that was perfect.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
NP;11_3;The monkey ate the banana with the bruise much to everyone’s surprise. ;1 2 3 4 5 6 7 8 9 10 11 12
VP;11_3;The monkey ate the banana with the fork much to everyone’s surprise. ;1 2 3 4 5 6 7 8 9 10 11 12
setup;12_1;A caretaker was walking along a corridor carrying some nails. He’d been told to repair a door.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
1-context;12_2;He saw a door which had a large crack in it and a locker which wouldn’t shut properly.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
2-context;12_2;He saw a door which had a large crack in it and a door which wouldn’t shut properly.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
NP;12_3;The caretaker repaired the door with the crack and then took a tea break. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14
VP;12_3;The caretaker repaired the door with the nails and then took a tea break. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14
setup;13_1;A skinhead was walking along a street carrying a large knife. He was planning to attack a policeman.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
1-context;13_2;He eventually saw a policeman who had a large scar on his face and a policewoman wearing spectacles.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
2-context;13_2;He eventually saw a policeman who had a large scar on his face and a policeman wearing spectacles.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
NP;13_3;The skinhead suddenly attacked the policeman with the scar and then ran off.;1 2 3 4 5 6 7 8 9 10 11 12 13
VP;13_3;The skinhead suddenly attacked the policeman with the knife and then ran off.;1 2 3 4 5 6 7 8 9 10 11 12 13
setup;14_1;A dressmaker was working on a dress using a pair of scissors. She had to cut some material for the pockets. ;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
1-context;14_2;She had a piece of material which had a pattern on it and a piece of leather which was plain.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2-context;14_2;She had a piece of material which had a pattern on it and a piece of material which was plain.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
