setup;1_1;A burglar broke into a bank carrying some dynamite. He planned to blow open a safe.;x-x-x batters towns yeah vs info deserves miss nominate. Hold outcome jack wars deal same glad.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16
1-context;1_2;Once inside he saw that there was a safe which had a new lock and a strongbox which had an old lock.;x-x-x senate guy mid yeah agree non ran dies feels pre app ago tend hate sad freedmen loved sir oh cent wars.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
2-context;1_2;Once inside he saw that there was a safe which had a new lock and a safe which had an old lock.;x-x-x senate guy mid yeah agree non ran dies feels pre app ago tend hate sad freedmen loved sir oh cent wars.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22
NP;1_3;The burglar blew open the safe with the new lock and made off with the loot.;x-x-x oversee pork goes god thus glad seem owed tend pre hate sir lord mom vivo.;1 2 3 4 5 6 7 8 9 x 10 11 12 13 14 15
VP;1_3;The burglar blew open the safe with the dynamite and made off with the loot.;x-x-x oversee pork goes god thus glad seem owed pre hate sir lord mom vivo.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
setup;2_1;A mechanic walked up to a car carrying a monkey wrench. He thought he’d have to change a tyre.;x-x-x meanings waters fund al lady nor memories ago oceans sharia. Girl amazing kiss sale hill months app zoos.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
1-context;2_2;On examining the car he found that there was a tyre which had a faulty valve and a fuel line which had a small hole in it.;x-x-x dispersed eat else cent river lady agree text app airs month sir lord trolls begun sick god lore holy games wild page seems dawn jobs glad.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 x 20 21 22 23 24 25 26
2-context;2_2;On examining the car he found that there was a tyre which had a faulty valve and a tyre which had a small hole in it.;x-x-x dispersed eat else cent river lady agree text app airs month sir lord trolls begun sick god lore games wild page seems dawn jobs glad.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26
NP;2_3;The mechanic changed the tyre with the faulty valve but it took a long time.;x-x-x authored western glad lows gone lord preach amend pre app sick sir ones hear.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
VP;2_3;The mechanic changed the tyre with the monkey wrench but it took a long time.;x-x-x authored western glad lows gone lord preach amend pre app sick sir ones hear.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
setup;3_1;A convict escaped from his cell clutching a knife. He was prepared to attack a warden if necessary.;x-x-x rumours insulin okay glad cent hatchback add kings. Held lot bathroom drop except wish theses buy ourselves.;1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
